"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm12741",0,NA,NA,NA,NA,NA
"Zfyve9",0,NA,NA,NA,NA,NA
"Cc2d1b",0,NA,NA,NA,NA,NA
"Gm12743",0.395040336797577,-0.592565900293535,4.05575054227073,-0.146105115222833,0.883838408388553,0.991147707420276
"Orc1",0,NA,NA,NA,NA,NA
"Prpf38a",0,NA,NA,NA,NA,NA
"Gm22345",0,NA,NA,NA,NA,NA
"Gm25827",0,NA,NA,NA,NA,NA
"Gm23138",0,NA,NA,NA,NA,NA
"Gm12739",0,NA,NA,NA,NA,NA
"LOC115490068",0,NA,NA,NA,NA,NA
"Gm24967",0,NA,NA,NA,NA,NA
"Tut4",6.14314576251374,1.82954017477969,2.20562130983397,0.829489707332131,0.406827358594114,0.977178756916937
"Gm12738",0,NA,NA,NA,NA,NA
"Gm40223",0,NA,NA,NA,NA,NA
"Gpx7",0,NA,NA,NA,NA,NA
"Gm32297",0,NA,NA,NA,NA,NA
"Shisal2a",0,NA,NA,NA,NA,NA
"LOC118568685",0,NA,NA,NA,NA,NA
"Gm46889",0,NA,NA,NA,NA,NA
"Coa7",0,NA,NA,NA,NA,NA
"Zyg11b",0,NA,NA,NA,NA,NA
"LOC118568684",0,NA,NA,NA,NA,NA
"Zyg11a",0.44507951821367,-0.592565900293535,4.05575054227073,-0.146105115222834,0.883838408388553,0.991147707420276
"Echdc2",0,NA,NA,NA,NA,NA
"LOC118568683",0,NA,NA,NA,NA,NA
"Mir6397",0,NA,NA,NA,NA,NA
"Scp2",0,NA,NA,NA,NA,NA
"Gm23354",0,NA,NA,NA,NA,NA
"Podn",2.28779548243022,4.72715474298173,3.17271817333678,1.48993843282655,0.136240424955229,0.977178756916937
"Slc1a7",0,NA,NA,NA,NA,NA
"4930407G08Rik",0,NA,NA,NA,NA,NA
"Gm40221",0,NA,NA,NA,NA,NA
"Cpt2",0,NA,NA,NA,NA,NA
"Czib",0,NA,NA,NA,NA,NA
"Magoh",0,NA,NA,NA,NA,NA
